Player,Team,Pos,Market,Balanced/Milestone,Current Line,Release Date,Open Line,Open O Odds,Open U Odds,Limit,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,,,,,,,,,,,,,,,,
KC Concepcion,CLE,WR,Receiving Yards O/U,Balanced,599.5  -110 / -110,4/27,624.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,8/1,Line Move,599.5,-110,-110,,-25,Under perfoming vs Boston in Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Cooper Jr.,NYJ,WR,Receiving Yards O/U,Balanced,449.5  -105 / -110,4/27,549.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,7/7,Line Move,499.5,-110,-110,,-50,Under action plus our poor results on rookie unders last year,8/13,Line Move,474.5,-110,-110,,-25,Prop Bet Guy tip on the under ,8/15,Line Move,449.5,-105,-110,,-25,Came out with 2nd team in preseason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Boston,CLE,WR,Receiving Yards O/U,Balanced,499.5  -110 / -110,4/27,474.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,8/1,Line Move,499.5,-110,-110,,25,Boston outperforming KC in Camp,,Line Move,,,,,-499.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenyon Sadiq,NYJ,TE,Receiving Yards O/U,Balanced,449.5  -110 / -110,4/27,474.5,-110,-110,"$1,000.00",Limits dropped to 1k will adjust in May,8/4,Line Move,449.5,-110,-110,,-25,"Hurt during camp, should be fine for week 1. will want to monitor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARI,TE,Receiving Yards O/U,Balanced,999.5  -110 / -110,5/6,999.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,BAL,TE,Receiving Yards O/U,Balanced,499.5  -110 / -110,5/6,474.5,-110,-110,"$1,500.00",,5/26,Line Move,524.5,-110,-110,,50,"Possibly tipped, string of bets on over",8/7,Line Move,499.5,-110,-110,,-25,string of sharp unders came in likely tipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BAL,WR,Receiving Yards O/U,Balanced,999.5  -110 / -110,5/6,974.5,-110,-110,"$1,500.00",,8/5,Line Move,999.5,-110,-110,,25,"Sharp overs after the extension, as well as liable to his overs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,Receiving Yards O/U,Balanced,549.5  -110 / -110,5/6,549.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,Receiving Yards O/U,Balanced,624.5  -110 / -110,5/6,674.5,-110,-110,"$1,500.00",,6/16,Line Move,649.5,-110,-110,,-25,Swirv and sharps on under,8/6,Line Move,624.5,-110,-110,,-25,Cluster of bets on the Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,Receiving Yards O/U,Balanced,949.5  -110 / -110,5/6,949.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,Receiving Yards O/U,Balanced,824.5  -110 / -110,5/6,749.5,-110,-110,"$1,500.00",,6/11,Line Move,799.5,-110,-110,,50,"Over liability, tipped play on over",7/21,Line Move,824.5,-110,-110,,25,"45 Over bets in the last 24 hours. We were higher than FD and Cs, but still better to move and see if we gonna get action on the under.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
