Player,Team,Pos,Market,Balanced/Milestone,Current Line,Release Date,Open Line,Open O Odds,Open U Odds,Limit,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,Date Moved,Action,New Line,New O Odds,New U Odds,New Limit,Movement,Notes,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,Rushing TDs O/U,Balanced,7.5  -135 / 110,5/29,7.5,-125,100,"$1,500.00",,7/20,Odds Move,7.5,-135,110,,-125 / 100  -->  -135 / 110,Small sharp action / FD -150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,Rushing TDs O/U,Balanced,5.5  -135 / 110,5/29,5.5,-110,-115,"$1,500.00",,6/16,Odds Move,5.5,-125,100,,-110 / -115  -->  -125 / 100,Tipped play,8/18,Odds Move,5.5,-135,110,,100 /   -->  -135 / 110,"Action and risk increasing on the over. Could switch to 6.5 , as we are close to 8k liability. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremiyah Love,ARI,RB,Rushing TDs O/U,Balanced,5.5  -130 / 105,5/29,5.5,-130,105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker III,KC,RB,Rushing TDs O/U,Balanced,7.5  -105 / -120,5/29,7.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Garrett,LAR,DE,Sacks O/U,Balanced,15.75  -120 / -105,6/1,15.75,-120,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,Receiving Yards O/U,Balanced,1049.5  -110 / -110,6/1,1049.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,NE,WR,Receiving Yards O/U,Balanced,1124.5  -110 / -110,6/1,1074.5,-115,-105,"$1,500.00",,6/3,Line Move,1124.5,-110,-110,,50,lot of over action of our opener all comps above us moved to top of market now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,Receiving TDs O/U,Balanced,5.5  -115 / -110,6/9,5.5,-115,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Brown,NE,WR,Receiving TDs O/U,Balanced,7.5  115 / -145,6/9,7.5,115,-145,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,Rushing Yards O/U,Balanced,724.5  -110 / -110,6/5,699.5,-110,-110,"$1,500.00",,8/3,Line Move,724.5,-110,-110,,25,Liablity to his over and consistent action there. Matched comps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LAR,RB,Rushing Yards O/U,Balanced,674.5  -110 / -110,6/5,674.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,Rushing Yards O/U,Balanced,974.5  -110 / -110,6/5,999.5,-110,-110,"$1,500.00",,7/27,Line Move,974.5,-110,-110,,-25,"34 overnight bets , could be a tip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,WAS,QB,Rushing Yards O/U,Balanced,549.5  -110 / -110,6/5,549.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,Rushing Yards O/U,Balanced,799.5  -110 / -110,6/5,799.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,JAX,WR,Receiving Yards O/U,Balanced,724.5  -115 / -105,6/5,699.5,-110,-110,"$1,500.00",,6/8,Line Move,724.5,-115,-105,,25,One way action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,Receiving Yards O/U,Balanced,574.5  -110 / -110,6/5,574.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,Receiving Yards O/U,Balanced,674.5  -110 / -110,6/5,649.5,-110,-110,"$1,500.00",,8/12,Line Move,674.5,-110,-110,,25,Sharp Handle on the over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,Receiving Yards O/U,Balanced,674.5  -110 / -110,6/5,674.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,Receiving Yards O/U,Balanced,774.9  -110 / -110,6/5,649.5,-110,-110,"$1,500.00",,6/10,Line Move,699.5,-110,-110,,50,Over action following Peirce injury news,6/11,Line Move,749.5,-110,-110,,50,Tipped play on over,6/24,Line Move,774.5,-120,,,25,Action continues,8/21,Line Move,774.9,-110,-110,,0.4,swirv on under 824.5,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,Receiving TDs O/U,Balanced,3.5  100 / -125,6/16,3.5,100,-125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,JAX,WR,Receiving TDs O/U,Balanced,4.5  100 / -125,6/16,4.5,100,-125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,Receiving TDs O/U,Balanced,3.5  110 / -135,6/16,3.5,110,-135,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnell Tate,TEN,WR,Receiving TDs O/U,Balanced,4.5  120 / -145,6/16,4.5,120,-145,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,Receiving TDs O/U,Balanced,4.5  115 / -140,6/16,4.5,115,-140,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,Receiving TDs O/U,Balanced,4.5  -125 / 100,6/16,4.5,-125,100,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,Receiving TDs O/U,Balanced,6.5  115 / -145,6/16,6.5,-105,-120,"$1,500.00",,6/26,Odds Move,6.5,115,-145,,-105 / -120  -->  115 / -145,Under action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,Receiving TDs O/U,Balanced,5.5  -130 / 105,6/16,5.5,-105,-120,"$1,500.00",,7/21,Odds Move,5.5,-130,105,,-105 / -120  -->  -130 / 105,Consistent over action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,Receiving TDs O/U,Balanced,6.5  -125 / 100,6/16,6.5,-140,115,"$1,500.00",,6/25,Odds Move,6.5,-125,100,,-140 / 115  -->  -125 / 100,FD opened at 5.5 o -102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,Receiving TDs O/U,Balanced,4.5  -130 / 105,6/16,4.5,-130,105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalton Kincaid,BUF,TE,Receiving TDs O/U,Balanced,3.5  -150 / 125,6/16,3.5,-150,125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,BUF,WR,Receiving TDs O/U,Balanced,6.5  115 / -140,6/16,6.5,115,-140,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,Receiving TDs O/U,Balanced,5.5  -105 / -120,6/16,5.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,Receiving TDs O/U,Balanced,6.5  -105 / -120,6/16,6.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NY,WR,Receiving TDs O/U,Balanced,4.5  -120 / -105,6/16,4.5,-110,-115,"$1,500.00",,6/25,Odds Move,4.5,-120,-105,,-110 / -115  -->  -120 / -105,Flipped the juice to get out of the arb w/ FD opener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,Receiving TDs O/U,Balanced,4.5  160 / -15,6/16,4.5,160,-15,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,Receiving TDs O/U,Balanced,5.5  -105 / -120,6/16,5.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,DEN,WR,Receiving TDs O/U,Balanced,5.5  -105 / -120,6/16,5.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordyn Tyson,NO,WR,Receiving TDs O/U,Balanced,4.5  -110 / -115,6/16,4.5,-110,-115,"$1,500.00",,8/13,Other,,,,,,Frozen due to injury news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans,SF,WR,Receiving TDs O/U,Balanced,6.5  -105 / -120,6/16,6.5,-105,-120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,Receiving TDs O/U,Balanced,4.5  -130 / 105,6/16,4.5,-105,-120,"$1,500.00",,6/29,Odds Move,4.5,-130,105,,-105 / -120  -->  -130 / 105,Moved out of 20 cent arb with FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,Receiving TDs O/U,Balanced,5.5  -125 / 100,6/16,5.5,115,-140,"$1,500.00",,6/25,Odds Move,5.5,100,-125,,115 / -140  -->  100 / -125,"Closed the Arb gap w/FD opener, all liability on over. ",7/27,Odds Move,5.5,-125,100,,-125 /   -->  -125 / 100,"Liability on over, still in arb with FD. BOSS alert. Cut 8+ MS as well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BAL,WR,Receiving TDs O/U,Balanced,5.5  100 / -130,6/16,5.5,115,-140,"$1,500.00",,7/19,Odds Move,5.5,100,-130,,115 / -140  -->  100 / -130,Sudden activity on the Over in the last 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,Rushing TDs O/U,Balanced,5.5  130 / -155,6/16,5.5,130,-155,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Skattebo,NYG,RB,Rushing TDs O/U,Balanced,6.5  105 / -130,6/16,6.5,105,-130,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift,CHI,RB,Rushing TDs O/U,Balanced,7.5  130 / -165,6/16,6.5,-135,110,"$1,500.00",,8/17,Line Move,7.5,130,-165,,1,Monangai out for multiple weeks with hyper extended knee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,HOU,RB,Rushing TDs O/U,Balanced,7.5  -115 / -110,6/16,7.5,-115,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,Rushing TDs O/U,Balanced,5.5  130 / -155,6/16,5.5,130,-155,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,NE,QB,Rushing TDs O/U,Balanced,3.5  100 / -125,6/16,3.5,100,-125,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,NYG,QB,Rushing TDs O/U,Balanced,5.5  -140 / 115,6/16,5.5,-140,115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,Rushing TDs O/U,Balanced,5.5  -145 / 120,6/16,5.5,-145,120,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,Rushing TDs O/U,Balanced,5.5  115 / -140,6/16,5.5,100,-125,"$1,500.00",,8/14,Odds Move,5.5,115,-140,,100 / -125  -->  115 / -140,"Swirv played the Under , so moved it a little bit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,Rushing TDs O/U,Balanced,6.5  125 / -150,6/16,6.5,125,-150,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,BAL,QB,Rushing TDs O/U,Balanced,3.5  -115 / -110,6/16,3.5,-115,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,Rushing Yards O/U,Balanced,474.5  -115 / -105,6/16,624.5,-110,-110,"$1,500.00",,7/20,Line Move,599.5,-110,-110,,-25,Steady action on under/few overs taken at price/CZRs at 550,8/10,Line Move,499.5,-105,-115,,-100,"Was at 549.5, tipped play, took about 2k in 20 mins",8/12,Line Move,474.5,-115,-105,,-25,continued under action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Skattebo,NYG,RB,Rushing Yards O/U,Balanced,799.5  -110 / -110,6/16,824.5,-110,-110,"$1,500.00",,8/18,Line Move,799.5,-110,-110,,-25,dropping a touch on Najee signing and were 50 yds higher than market before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,Rushing Yards O/U,Balanced,699.5  -110 / -110,6/16,824.5,-110,-110,"$1,500.00",,7/23,Line Move,749.5,-110,-110,,-75,"Jonathan Brooks news, sharp unders",7/27,Line Move,699.5,-110,-110,,-50,Continued sharp action and other books have gone to 700 yards too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,Rushing Yards O/U,Balanced,624.5  -110 / -110,6/16,574.5,-110,-110,"$1,500.00",,8/4,Line Move,599.5,-110,-110,,25,Consitent sharp over action only 34 bets on under v 1150 on over,8/19,Line Move,624.5,-110,-110,,25,Rachaad White injury news and FD moved up 25 yards. Following them up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadarian Price,SEA,RB,Rushing Yards O/U,Balanced,724.5  -110 / -110,6/16,749.5,-110,-110,"$1,500.00",,7/28,Line Move,699.5,-110,-110,,-50,Seattle wont rule out Charbonett week 1 return. FD at 700.5,8/1,Line Move,724.5,-110,-110,,25,"Sharp overs, good news from camp and liable to over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,Rushing Yards O/U,Balanced,624.5  -110 / -110,6/16,599.5,-110,-110,"$1,500.00",,8/5,Line Move,624.5,-110,-110,,25,"Listed RB1 on intial depth chart, just a small move for now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,Rushing Yards O/U,Balanced,649.5  -110 / -110,6/16,624.5,-110,-110,"$1,500.00",,7/15,Line Move,649.5,-110,-110,,25,Tipped play and all current handle on over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,CLE,RB,Rushing Yards O/U,Balanced,899.5  -105 / -115,6/16,924.5,-110,-110,"$1,500.00",,7/9,Line Move,899.5,-105,-115,,-25,Koerner tipped play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,Rushing Yards O/U,Balanced,624.5  -110 / -110,6/16,624.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rico Dowdle,PIT,RB,Rushing Yards O/U,Balanced,699.5  -110 / -110,6/16,749.5,-110,-110,"$1,500.00",,7/27,Line Move,724.5,-105,-115,,-25,Large arb to FD 750+,8/5,Line Move,699.5,-110,-110,,-25,"Listed RB2 on intial depth chart, just a small move for now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,Rushing Yards O/U,Balanced,699.5  -110 / -110,6/16,699.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,Receiving Yards O/U,Balanced,574.5  -110 / -110,6/17,574.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,Receiving Yards O/U,Balanced,549.5  -110 / -110,6/17,624.5,-110,-110,"$1,500.00",,7/23,Line Move,574.5,-105,-115,,-50,Repeated sharp action from level 5s,8/8,Line Move,549.5,-110,-110,,-25,Marker on his under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,Receiving Yards O/U,Balanced,699.5  -110 / -110,6/17,699.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,Receiving Yards O/U,Balanced,574.5  -110 / -110,6/17,574.5,-110,-110,"$1,500.00",,8/6,Line Move,599.5,-110,-110,,25,"Over liability, all the injuries with receivers has driven up handle on over so wanted to be top of market",8/7,Line Move,574.5,-110,-110,,-25,bunch of sharp unders came in; FD at 550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Fannin Jr.,CLE,TE,Receiving Yards O/U,Balanced,699.5  -110 / -110,6/17,699.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahmyr Gibbs,DET,RB,Receiving Yards O/U,Balanced,449.5  -110 / -110,6/17,449.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,JAX,WR,Receiving Yards O/U,Balanced,674.5  -105 / -115,6/17,699.5,-110,-110,"$1,500.00",,8/12,Line Move,674.5,-105,-115,,-25,Tiiped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,Receiving Yards O/U,Balanced,624.5  -115 / -105,6/17,599.5,-110,-110,"$1,500.00",,7/29,Line Move,624.5,-115,-105,,25,"Had already been taking a few bets, Brazzell out 8 weeks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,HOU,WR,Receiving Yards O/U,Balanced,574.5  -110 / -110,6/17,574.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Jeudy,CLE,WR,Receiving Yards O/U,Balanced,549.5  -110 / -110,6/17,624.5,-110,-110,"$1,500.00",,8/11,Line Move,549.5,-110,-110,,-75,Tipped with Aaron Jones unders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,Receiving Yards O/U,Balanced,599.5  -110 / -110,6/17,599.5,-110,-110,"$1,500.00",,6/18,Line Move,574.5,-110,-110,,-25,"Was higher than Cs, tipped play to under",8/18,Line Move,599.5,-110,-110,,25,Moved up due to action and possible increased usage based on Tyson injury. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,Receiving Yards O/U,Balanced,649.5  -110 / -110,6/17,599.5,-110,-110,"$1,500.00",,7/9,Line Move,649.5,-110,-110,,50,Over action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARI,WR,Receiving Yards O/U,Balanced,724.5  110 / -130,6/17,749.5,-110,-110,"$1,500.00",,7/7,Line Move,724.5,-110,-110,,-25,Koerner tip on under,7/29,Line Move,699.5,-110,-110,,-25,Liability on the under ,7/30,Line Move,724.5,110,-130,,25,Sharp action on his Over and 1000+; moved back to 725 & juiced the under to limit combo liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington,JAX,WR,Receiving Yards O/U,Balanced,774.5  -115 / -105,6/17,749.5,-110,-110,"$1,500.00",,7/30,Line Move,774.5,-115,-105,,25,One-sided liability; training camp reports touting his ascension ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LA,WR,Receiving Yards O/U,Balanced,649.5  -110 / -110,6/17,649.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Pearsall,SF,WR,Receiving Yards O/U,Balanced,674.5  -110 / -110,6/17,674.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,Receiving Yards O/U,Balanced,624.5  -110 / -110,6/17,624.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,Receiving Yards O/U,Balanced,574.5  -110 / -110,6/17,574.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,Receiving Yards O/U,Balanced,699.5  -110 / -110,6/17,649.5,-110,-110,"$1,500.00",,7/29,Line Move,699.5,-110,-110,,50,Closing the gap to fanduel 775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,TEN,WR,Receiving Yards O/U,Balanced,699.5  -110 / -110,6/17,674.5,-110,-110,"$1,500.00",,8/3,Line Move,699.5,-110,-110,,25,Overnight cluster of bets including a level 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,Receiving TDs O/U,Balanced,5.5  -125 / 100,6/29,5.5,-125,100,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,Rushing Yards O/U,Balanced,649.5  -110 / -110,6/29,649.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Etienne Jr.,NO,RB,Rushing Yards O/U,Balanced,824.5  -110 / -110,6/29,774.5,-110,-110,"$1,500.00",,7/24,Line Move,799.5,-110,-110,,25,"Closed gap w/ FD (850.5), have accumulated good amount of Sharp/Concerning action",8/19,Line Move,824.5,-110,-110,,25,"Moving towards FD(850), following Kamara news",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,DEN,RB,Rushing Yards O/U,Balanced,674.5  -110 / -110,6/29,674.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,Receiving Yards O/U,Balanced,699.5  -110 / -110,6/29,724.5,-110,-110,"$1,500.00",,8/9,Line Move,699.5,-110,-110,,-25,"Closed gap with FD, taking sharp unders and more liability on under. Still some injury concerns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Shaheed,SEA,WR,Receiving Yards O/U,Balanced,574.5  -110 / -110,6/29,499.5,-110,-110,"$1,500.00",,8/14,Line Move,524.5,-125,105,,25,Cody Brown Bets tip: sharp action on Overs; sharp cluster alert in Boss. Growing liability on the over,8/14,Line Move,549.5,-110,-110,,25,"Sharp bets on the over, possible tip, several alerts on bets for the over",8/14,Line Move,574.5,-110,-110,,25,More activity on the over racking up a decent amount of liability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,Receiving Yards O/U,Balanced,649.5  -110 / -110,6/29,649.5,-110,-110,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle,SF,TE,Receiving TDs O/U,Balanced,5.5  -130 / 105,6/30,5.5,-130,105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,Receiving TDs O/U,Balanced,4.5  -140 / 115,6/30,4.5,-140,115,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,Receiving TDs O/U,Balanced,4.5  -120 / -105,6/30,4.5,-120,-105,"$1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,BAL,TE,Receiving TDs O/U,Balanced,6.5  120 / -150,6/30,6.5,100,-125,"$1,500.00",,8/9,Odds Move,6.5,120,-150,,100 / -125  -->  120 / -150,"Pushed closer to comps at 5.5, liability on under as of now",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
