name,position,pass_att,pass_cmp,pass_td,pass_yds,interceptions,receptions,rec_yds,rec_td,rush_att,rush_yds,rush_td,fumbles,source_points
Colby Parkinson,TE,,,,,,29.0,293.0,3.0,,,,,76.30
Olamide Zaccheaus,WR,,,,,,30.0,326.0,2.0,2.0,12.0,,,75.80
Antonio Williams,WR,,,,,,28.0,339.0,2.0,2.0,13.0,,,75.20
LV,DST,,,,,,,,,,,,,75.00
ARI,DST,,,,,,,,,,,,,75.00
Matt Gay,K,,,,,,,,,,,,,75.00
NYJ,DST,,,,,,,,,,,,,74.00
Elijah Arroyo,TE,,,,,,29.0,312.0,2.0,,,,,72.20
MIA,DST,,,,,,,,,,,,,72.00
KaVontae Turpin,WR,,,,,,21.0,268.0,2.0,14.0,77.0,1.0,1.0,71.50
Jahan Dotson,WR,,,,,,26.0,316.0,2.0,2.0,16.0,,,71.20
Jake Tonges,TE,,,,,,30.0,288.0,2.0,,,,,70.80
Evan Engram,TE,,,,,,31.0,277.0,2.0,,,,,70.70
Dontayvion Wicks,WR,,,,,,26.0,316.0,2.0,1.0,8.0,,,70.40
Trey Smack,K,,,,,,,,,,,,,70.00
Brian Robinson,RB,,,,,,13.0,91.0,,87.0,358.0,2.0,,69.90
Marvin Mims,WR,,,,,,27.0,293.0,2.0,6.0,36.0,,1.0,69.90
Samaje Perine,RB,,,,,,14.0,103.0,1.0,66.0,275.0,2.0,,69.80
Tyler Allgeier,RB,,,,,,8.0,54.0,,95.0,400.0,3.0,1.0,69.40
DeMario Douglas,WR,,,,,,24.0,300.0,2.0,4.0,28.0,,,68.80
Justice Hill,RB,,,,,,24.0,176.0,1.0,33.0,141.0,1.0,,67.70
Marquise Brown,WR,,,,,,25.0,305.0,2.0,,,,,67.50
Chris Bell,WR,,,,,,25.0,299.0,2.0,1.0,3.0,,,67.20
Zach Charbonnet,RB,,,,,,11.0,78.0,1.0,65.0,264.0,3.0,1.0,67.20
Troy Franklin,WR,,,,,,24.0,287.0,2.0,2.0,14.0,,,66.10
Xavier Legette,WR,,,,,,24.0,290.0,2.0,1.0,10.0,,,66.00
Emmett Johnson,RB,,,,,,12.0,86.0,1.0,67.0,286.0,2.0,1.0,65.20
Tank Bigsby,RB,,,,,,8.0,59.0,,82.0,353.0,3.0,1.0,65.20
Ray Davis,RB,,,,,,9.0,68.0,,73.0,313.0,3.0,,65.10
Jonah Coleman,RB,,,,,,10.0,75.0,1.0,72.0,304.0,2.0,1.0,63.90
Nicholas Singleton,RB,,,,,,12.0,87.0,1.0,65.0,270.0,2.0,1.0,63.70
Skyler Bell,WR,,,,,,22.0,291.0,2.0,1.0,5.0,,,63.60
Alvin Kamara,RB,,,,,,20.0,145.0,1.0,45.0,185.0,1.0,1.0,63.00
Barion Brown,WR,,,,,,22.0,290.0,2.0,,,,,63.00
Isaiah Bond,WR,,,,,,22.0,269.0,2.0,3.0,19.0,,,62.80
Tyquan Thornton,WR,,,,,,20.0,306.0,2.0,,,,,62.60
Mike Washington,RB,,,,,,9.0,69.0,1.0,66.0,281.0,2.0,,62.00
Will Kacmarek,TE,,,,,,25.0,246.0,2.0,,,,,61.60
Elijah Sarratt,WR,,,,,,22.0,270.0,2.0,1.0,4.0,,,61.40
Malik Benson,WR,,,,,,21.0,276.0,2.0,,,,,60.60
Isaiah Davis,RB,,,,,,13.0,94.0,,62.0,261.0,2.0,,60.50
Kimani Vidal,RB,,,,,,14.0,97.0,,60.0,243.0,2.0,,60.00
Zane Gonzalez,K,,,,,,,,,,,,,60.00
Mack Hollins,WR,,,,,,21.0,263.0,2.0,1.0,6.0,,,59.90
Jordan James,RB,,,,,,11.0,80.0,,68.0,287.0,2.0,,59.70
Josh Cameron,WR,,,,,,21.0,244.0,2.0,4.0,22.0,,,59.60
Noah Gray,TE,,,,,,24.0,231.0,2.0,,,,,59.10
Darnell Mooney,WR,,,,,,19.0,273.0,2.0,1.0,3.0,,,58.60
Justin Joly,TE,,,,,,23.0,230.0,2.0,,,,,58.00
David Njoku,TE,,,,,,23.0,230.0,2.0,,,,,58.00
Joe Royer,TE,,,,,,23.0,228.0,2.0,,,,,57.80
Zavion Thomas,WR,,,,,,20.0,252.0,2.0,,,,,57.20
James Conner,RB,,,,,,11.0,82.0,1.0,53.0,220.0,2.0,1.0,57.20
Elic Ayomanor,WR,,,,,,20.0,247.0,2.0,,,,,56.70
Jaydon Blue,RB,,,,,,9.0,67.0,,68.0,289.0,2.0,,56.60
Emanuel Wilson,RB,,,,,,11.0,86.0,,61.0,249.0,2.0,,56.50
Chris Brooks,RB,,,,,,14.0,100.0,,50.0,203.0,2.0,,56.30
LeQuint Allen,RB,,,,,,18.0,127.0,1.0,33.0,135.0,1.0,,56.20
Max Klare,TE,,,,,,22.0,221.0,2.0,,,,,56.10
Dominic Zvada,K,,,,,,,,,,,,,56.00
Ty Johnson,RB,,,,,,17.0,131.0,1.0,32.0,137.0,1.0,,55.80
Carson Beck,QB,124.0,77.0,5.0,778.0,4.0,,,,12.0,38.0,1.0,1.0,54.92
Calvin Austin,WR,,,,,,21.0,261.0,1.0,3.0,17.0,,,54.80
Isiah Pacheco,RB,,,,,,10.0,73.0,,67.0,263.0,2.0,1.0,53.60
Jack Endries,TE,,,,,,21.0,203.0,2.0,,,,,53.30
Sean Tucker,RB,,,,,,8.0,57.0,,66.0,288.0,2.0,1.0,52.50
Braelon Allen,RB,,,,,,10.0,69.0,,57.0,233.0,2.0,,52.20
Daniel Carlson,K,,,,,,,,,,,,,52.00
MarShawn Lloyd,RB,,,,,,7.0,47.0,,68.0,281.0,2.0,,51.80
Brandon Aiyuk,WR,,,,,,16.0,213.0,2.0,,3.0,,,49.60
John Metchie,WR,,,,,,20.0,220.0,1.0,1.0,8.0,,,48.80
Greg Dortch,WR,,,,,,21.0,215.0,1.0,3.0,16.0,,1.0,48.10
Christian Kirk,WR,,,,,,19.0,205.0,1.0,1.0,9.0,,,46.40
Brandon McManus,K,,,,,,,,,,,,,46.00
Kaytron Allen,RB,,,,,,8.0,59.0,,53.0,220.0,2.0,1.0,45.90
Jaylen Wright,RB,,,,,,6.0,38.0,,53.0,223.0,2.0,,44.10
Kaelon Black,RB,,,,,,6.0,43.0,,49.0,200.0,2.0,,42.30
Elijah Higgins,TE,,,,,,18.0,179.0,1.0,,,,,41.90
Konata Mumpfield,WR,,,,,,16.0,197.0,1.0,,,,,41.70
Ben Sauls,K,,,,,,,,,,,,,41.00
Luke Musgrave,TE,,,,,,17.0,176.0,1.0,,,,,40.60
John Michael Gyllenborg,TE,,,,,,11.0,114.0,1.0,,,,,40.40
Daniel Bellinger,TE,,,,,,17.0,171.0,1.0,,,,,40.10
Oscar Delp,TE,,,,,,17.0,164.0,1.0,,,,,39.40
CJ Daniels,WR,,,,,,15.0,177.0,1.0,1.0,6.0,,,39.30
Kirk Cousins,QB,98.0,63.0,5.0,639.0,3.0,,,,5.0,6.0,,2.0,39.16
Brenen Thompson,WR,,,,,,14.0,190.0,1.0,,,,,39.00
Rasheen Ali,RB,,,,,,12.0,87.0,,29.0,120.0,1.0,,38.70
Bryce Lance,WR,,,,,,15.0,177.0,1.0,,,,,38.70
Tez Johnson,WR,,,,,,14.0,174.0,1.0,2.0,10.0,,,38.40
Charlie Kolar,TE,,,,,,16.0,162.0,1.0,1.0,2.0,,,38.40
Emari Demercado,RB,,,,,,12.0,83.0,,29.0,120.0,1.0,,38.30
Demarcus Robinson,WR,,,,,,14.0,181.0,1.0,,,,,38.10
Jaylin Lane,WR,,,,,,14.0,163.0,1.0,2.0,14.0,,,37.70
Riley Patterson,K,,,,,,,,,,,,,37.00
Zach Ertz,TE,,,,,,16.0,147.0,1.0,,,,,36.70
Xavier Hutchinson,WR,,,,,,14.0,167.0,1.0,,,,,36.70
Noah Fant,TE,,,,,,15.0,156.0,1.0,,,,,36.60
Seth McGowan,RB,,,,,,7.0,49.0,,44.0,184.0,1.0,,36.30
Trevor Etienne,RB,,,,,,8.0,58.0,,40.0,164.0,1.0,,36.20
Jonnu Smith,TE,,,,,,15.0,139.0,1.0,2.0,10.0,,,35.90
KeAndre Lambert-Smith,WR,,,,,,13.0,159.0,1.0,1.0,6.0,,,35.50
Treylon Burks,WR,,,,,,12.0,152.0,1.0,3.0,16.0,,,34.80
Justin Fields,QB,55.0,34.0,2.0,363.0,2.0,,,,18.0,102.0,1.0,1.0,34.72
Jalen Tolbert,WR,,,,,,13.0,152.0,1.0,,,,,34.20
Jalen Royals,WR,,,,,,13.0,143.0,1.0,1.0,6.0,,,33.90
Michael Trigg,TE,,,,,,14.0,138.0,1.0,,,,,33.80
Will Shipley,RB,,,,,,10.0,73.0,,25.0,105.0,1.0,,33.80
Malik Davis,RB,,,,,,6.0,39.0,,44.0,178.0,1.0,,33.70
Sam Roush,TE,,,,,,14.0,135.0,1.0,,,,,33.50
Austin Hooper,TE,,,,,,14.0,132.0,1.0,,,,,33.20
Cade Stover,TE,,,,,,14.0,130.0,1.0,2.0,2.0,,,33.20
Austin Ekeler,RB,,,,,,9.0,63.0,,28.0,118.0,1.0,,33.10
Eli Raridon,TE,,,,,,14.0,130.0,1.0,,,,,33.00
Tyler Higbee,TE,,,,,,14.0,129.0,1.0,,,,,32.90
Tanner Koziol,TE,,,,,,14.0,128.0,1.0,,,,,32.80
Joshua Palmer,WR,,,,,,12.0,146.0,1.0,,,,,32.60
Kevin Coleman,WR,,,,,,12.0,144.0,1.0,,,,,32.40
Savion Williams,WR,,,,,,10.0,118.0,1.0,6.0,42.0,,,32.00
