rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
73,TE5,Harold Fannin Jr.,TE,CLE,181.7,144.0,220.8,18.2,75.5,2.5,187.7,ACTIVE,dk+hist,0.0,0.0,0.0,12.81,1.18,68.69,699.5,6.23,1.35
74,RB22,David Montgomery,RB,HOU,181.0,143.9,219.8,17.5,70.3,-3.7,192.7,ACTIVE,dk+hist,2.97,0.99,0.0,808.22,7.54,28.71,248.31,0.0,1.36
75,WR27,Mike Evans,WR,SF,181.0,143.3,220.6,17.3,94.0,19.0,182.6,QUESTIONABLE,vegas,0.0,0.0,0.0,0.0,0.0,59.5,824.5,6.5,0.0
76,RB23,Bucky Irving,RB,TB,178.0,143.6,213.4,14.5,53.9,-22.1,207.1,ACTIVE,vegas,0.0,0.0,0.0,799.5,4.5,36.0,271.0,2.0,2.0
77,TE6,Kyle Pitts,TE,ATL,175.3,140.8,211.3,11.8,64.9,-12.1,185.1,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,70.27,774.5,4.6,0.0
78,WR28,Rome Odunze,WR,CHI,175.4,140.3,212.1,11.7,64.8,-13.2,212.6,ACTIVE,dk+hist,0.0,0.0,0.0,5.07,0.0,57.75,824.5,5.91,0.4
79,WR29,DK Metcalf,WR,PIT,174.7,137.9,213.6,11.0,86.8,7.8,196.0,QUESTIONABLE,dk+hist,0.0,0.0,0.0,8.02,0.75,56.59,824.5,5.39,0.99
80,WR30,Stefon Diggs,WR,WAS,173.7,138.8,211.0,10.0,127.2,47.2,164.0,ACTIVE,vegas,8.97,0.0,0.0,6.0,0.72,64.0,774.5,4.5,0.0
81,QB22,Sam Darnold,QB,SEA,219.7,167.3,274.1,9.6,162.1,81.1,242.6,ACTIVE,dk+hist,3699.5,23.5,12.01,133.84,0.41,0.0,0.0,0.0,7.06
82,WR31,Alec Pierce,WR,IND,172.5,136.0,209.8,8.8,101.6,19.6,186.7,OUT,dk+hist,0.0,0.0,0.0,0.0,0.0,42.14,899.5,6.73,0.0
