rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
269,RB72,Emari Demercado,RB,KC,58.5,38.7,79.5,-122.5,170.4,-98.6,63.8,ACTIVE,hist,0.0,0.0,0.0,291.92,0.41,14.09,101.6,0.74,0.92
270,WR113,Kalif Raymond,WR,CHI,58.3,39.0,78.6,-123.1,170.0,-100.1,48.0,ACTIVE,hist,0.0,0.0,0.0,11.53,0.0,21.63,263.1,1.54,0.0
271,WR114,Mike Williams,WR,LAC,57.5,38.8,77.5,-123.9,170.0,-101.0,,,hist,0.0,0.0,0.0,0.0,0.0,21.16,299.78,1.06,0.0
272,QB30,Derek Carr,QB,NO,151.2,115.2,187.8,-125.2,170.0,-102.0,,,hist,2187.86,14.87,4.98,71.81,1.16,0.0,0.0,0.0,0.0
273,RB73,Najee Harris,RB,NYG,55.8,35.9,77.2,-125.2,169.9,-103.1,50.0,ACTIVE,hist,0.0,0.0,0.0,283.48,1.21,11.17,89.93,0.0,0.0
274,RB74,Ollie Gordon II,RB,MIA,55.8,32.3,80.3,-125.2,170.5,-103.5,34.9,ACTIVE,hist,0.0,0.0,0.0,198.64,3.32,6.66,30.69,1.04,0.0
275,WR115,Dyami Brown,WR,WAS,55.8,36.5,75.9,-125.6,170.0,-105.0,47.0,ACTIVE,hist,0.0,0.0,0.0,30.72,0.0,22.98,258.74,1.12,1.43
276,WR116,Elijah Moore,WR,PHI,55.7,36.6,76.1,-125.7,170.0,-106.0,,QUESTIONABLE,hist,0.0,0.0,0.0,21.14,1.05,23.38,222.66,0.28,0.0
277,QB31,Kyler Murray,QB,MIN,150.4,114.3,188.0,-126.0,147.4,-129.6,250.6,ACTIVE,hist,1850.49,10.91,5.59,338.28,2.56,0.0,0.0,0.0,2.63
278,WR117,Isaiah Bond,WR,CLE,53.3,35.4,72.5,-128.1,170.0,-108.0,30.6,ACTIVE,hist,0.0,0.0,0.0,29.48,0.0,17.72,326.71,0.0,0.0
279,RB75,Jaleel McLaughlin,RB,DEN,52.5,33.2,72.9,-128.5,170.0,-109.0,,ACTIVE,hist,0.0,0.0,0.0,287.73,1.29,9.15,41.15,0.57,0.33
280,WR118,Tutu Atwell,WR,MIA,52.2,33.9,71.3,-129.2,170.1,-109.9,57.0,ACTIVE,hist,0.0,0.0,0.0,1.98,0.0,16.06,302.18,0.95,0.0
281,RB76,Trey Benson,RB,ARI,50.9,31.8,70.8,-130.1,169.9,-111.1,0.0,QUESTIONABLE,hist,0.0,0.0,0.0,252.53,0.23,15.8,84.78,0.0,0.0
282,WR119,David Sills,WR,TB,51.0,30.3,72.4,-130.4,170.0,-112.0,,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,17.81,196.3,2.26,0.0
283,QB32,Jacoby Brissett,QB,ARI,145.9,108.2,184.6,-130.5,170.1,-112.9,198.9,ACTIVE,hist,2298.54,13.75,4.9,126.81,0.62,0.0,0.0,0.0,3.8
284,WR120,Kyle Williams,WR,NE,50.8,27.6,74.9,-130.6,170.0,-114.0,22.6,ACTIVE,hist,0.0,0.0,0.0,3.1,0.0,9.84,210.8,3.26,0.0
285,WR121,Marquez Valdes-Scantling,WR,DAL,49.0,29.0,69.5,-132.4,170.0,-115.0,,ACTIVE,hist,0.0,0.0,0.0,1.34,0.0,16.2,204.11,2.04,0.0
286,WR122,Tyquan Thornton,WR,KC,48.3,28.9,69.0,-133.1,170.4,-115.6,77.5,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,12.8,257.02,1.63,0.0
287,WR123,Luke McCaffrey,WR,WAS,47.8,27.0,69.0,-133.6,169.9,-117.1,18.5,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,13.16,198.57,2.47,0.0
288,WR124,Jahan Dotson,WR,ATL,47.7,29.5,66.7,-133.7,170.5,-117.5,92.8,ACTIVE,hist,0.0,0.0,0.0,5.74,0.0,18.16,247.55,0.71,0.0
289,WR125,Lil'Jordan Humphrey,WR,DEN,46.6,28.2,66.2,-134.8,169.8,-119.2,,ACTIVE,hist,0.0,0.0,0.0,0.0,0.0,19.07,208.42,1.22,0.32
